Kernel函数名称,kernel来源,函数名特征,kernel类型,核心程度级别,核心程度得分,判定依据,Kernel源码路径,Kernel行号
chunk_abc_fwd_kernel_h,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/abc/chunk.py,18
chunk_abc_fwd_kernel_intra_K,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/abc/chunk.py,82
chunk_abc_fwd_kernel_K,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/abc/chunk.py,132
chunk_abc_fwd_kernel_intra_V,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/abc/chunk.py,190
chunk_abc_fwd_kernel_V,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/abc/chunk.py,248
chunk_abc_bwd_kernel_dh,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/abc/chunk.py,300
chunk_abc_bwd_kernel_V,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/abc/chunk.py,359
chunk_abc_bwd_kernel_intra_V,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/abc/chunk.py,453
chunk_abc_bwd_kernel_intra_K,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/abc/chunk.py,546
chunk_abc_bwd_kernel_K,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/abc/chunk.py,604
chunk_abc_bwd_kernel_intra_KV,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/abc/chunk.py,694
chunk_abc_bwd_kernel_rcum_inter,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/abc/chunk.py,748
chunk_abc_bwd_kernel_rcum_intra,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/abc/chunk.py,784
naive_attn_decoding_kernel,核心算子,含naive,vv,边缘,1,含naive,fla/ops/attn/decoding.py,29
parallel_attn_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/attn/parallel.py,25
parallel_attn_bwd_kernel_preprocess,核心算子,含cumsum/preprocess/mask,vv,辅助,3,含cumsum/preprocess/mask,fla/ops/attn/parallel.py,149
parallel_attn_bwd_kernel_dq,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/attn/parallel.py,172
parallel_attn_bwd_kernel_dkv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/attn/parallel.py,306
fused_chunk_based_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),cv/cube,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/based/fused_chunk.py,15
fused_chunk_based_bwd_kernel,核心算子,fused+bwd,cv/cube,重要,4,fused+bwd,fla/ops/based/fused_chunk.py,113
parallel_based_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/based/parallel.py,18
_parallel_based_bwd_dq,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/based/parallel.py,104
_parallel_based_bwd_dkv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/based/parallel.py,187
parallel_based_bwd_kernel,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/based/parallel.py,268
fused_recurrent_comba_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/comba/fused_recurrent.py,21
chunk_comba_cumsum_scalar_fwd_kernel,核心算子,含cumsum/preprocess/mask,vv,辅助,3,含cumsum/preprocess/mask,fla/ops/comba/utils.py,28
